Date,Id,League,Account,Action,Stash,Item,X,Y
"2026-06-06T01:45:52.000Z",2779392342,"Runes of Aldur","MrHubert1710#5930","added","Frag","Djinn Barya",8,8
"2026-06-06T01:45:51.000Z",2779392247,"Runes of Aldur","MrHubert1710#5930","modified","$$$","20× Divine Orb",8,1
"2026-06-06T01:45:51.000Z",2779392203,"Runes of Aldur","MrHubert1710#5930","modified","$$$","137× Greater Orb of Augmentation",45,1
"2026-06-06T01:45:50.000Z",2779392153,"Runes of Aldur","MrHubert1710#5930","modified","$$$","37× Orb of Alchemy",3,1
"2026-06-06T01:45:50.000Z",2779392110,"Runes of Aldur","MrHubert1710#5930","modified","$$$","197× Blacksmith's Whetstone",14,1
"2026-06-06T01:45:50.000Z",2779392071,"Runes of Aldur","MrHubert1710#5930","modified","Frag","1688× Breach Splinter",1,2
"2026-06-06T01:45:49.000Z",2779392034,"Runes of Aldur","MrHubert1710#5930","added","Quad","Lavish Wombgift",2,24
"2026-06-06T01:45:41.000Z",2779390969,"Runes of Aldur","MrHubert1710#5930","modified","$$$","98× Exalted Orb",7,1
"2026-06-06T01:45:41.000Z",2779390942,"Runes of Aldur","MrHubert1710#5930","added","Waystone","Waystone (Tier 15) of Enfeebling (T15)",10,1
"2026-06-06T01:45:40.000Z",2779390892,"Runes of Aldur","MrHubert1710#5930","added","Waystone","Frostbitten Waystone (Tier 15) of Drought (T15)",9,8
"2026-06-06T01:45:40.000Z",2779390838,"Runes of Aldur","MrHubert1710#5930","added","Waystone","Tough Waystone (Tier 15) (T15)",9,7
"2026-06-06T01:45:40.000Z",2779390802,"Runes of Aldur","MrHubert1710#5930","modified","Abbys/Expediton","936× Verisium",7,10
"2026-06-06T01:45:39.000Z",2779390767,"Runes of Aldur","MrHubert1710#5930","modified","Abbys/Expediton","5× Preserved Jawbone",7,8
"2026-06-06T01:45:39.000Z",2779390740,"Runes of Aldur","MrHubert1710#5930","added","Waystone","Frostbitten Waystone (Tier 15) Shocking (T15)",9,6
"2026-06-06T01:45:39.000Z",2779390739,"Runes of Aldur","MrHubert1710#5930","added","Waystone","Fleeting Waystone (Tier 15) (T15)",9,5
"2026-06-06T01:45:39.000Z",2779390697,"Runes of Aldur","MrHubert1710#5930","added","Waystone","Desolate Direction Waystone (Tier 15) (T15)",9,4
"2026-06-06T01:37:59.000Z",2779332716,"Runes of Aldur","MrHubert1710#5930","added","Quad","Authoritative Sapphire of Continuation",21,21
"2026-06-06T01:37:56.000Z",2779332389,"Runes of Aldur","MrHubert1710#5930","added","Waystone","Waystone (Tier 15) (T15)",9,3
"2026-06-06T01:37:56.000Z",2779332355,"Runes of Aldur","MrHubert1710#5930","added","Waystone","Shattering Waystone (Tier 15) of Exposure (T15)",9,2
"2026-06-06T01:37:56.000Z",2779332332,"Runes of Aldur","MrHubert1710#5930","added","Waystone","Waystone (Tier 15) of Slowing (T15)",9,1
"2026-06-06T01:37:51.000Z",2779331713,"Runes of Aldur","MrHubert1710#5930","modified","Aug","31× Greater Iron Rune",12,1
"2026-06-06T01:37:50.000Z",2779331666,"Runes of Aldur","MrHubert1710#5930","modified","$$$","56× Greater Orb of Transmutation",43,1
"2026-06-06T01:37:50.000Z",2779331631,"Runes of Aldur","MrHubert1710#5930","modified","$$$","94× Exalted Orb",7,1
"2026-06-06T01:37:50.000Z",2779331605,"Runes of Aldur","MrHubert1710#5930","modified","Frag","1673× Breach Splinter",1,2
"2026-06-06T01:37:49.000Z",2779331538,"Runes of Aldur","MrHubert1710#5930","modified","$$$","196× Blacksmith's Whetstone",14,1
"2026-06-06T01:37:49.000Z",2779331477,"Runes of Aldur","MrHubert1710#5930","modified","$$$","34× Orb of Alchemy",3,1
"2026-06-06T01:37:48.000Z",2779331413,"Runes of Aldur","MrHubert1710#5930","modified","$$$","18× Divine Orb",8,1
"2026-06-06T01:37:48.000Z",2779331382,"Runes of Aldur","MrHubert1710#5930","added","$$$","Chance Shard",25,1
"2026-06-06T01:37:48.000Z",2779331320,"Runes of Aldur","MrHubert1710#5930","modified","$$$","54× Gemcutter's Prism",20,1
"2026-06-06T01:37:47.000Z",2779331280,"Runes of Aldur","MrHubert1710#5930","modified","$$$","41× Greater Jeweller's Orb",18,1
"2026-06-06T01:37:47.000Z",2779331211,"Runes of Aldur","MrHubert1710#5930","modified","$$$","80× Regal Orb",4,1
"2026-06-06T01:37:47.000Z",2779331183,"Runes of Aldur","MrHubert1710#5930","modified","$$$","136× Greater Orb of Augmentation",45,1
"2026-06-06T01:37:45.000Z",2779331002,"Runes of Aldur","MrHubert1710#5930","modified","$$$","31× Greater Regal Orb",47,1
"2026-06-06T01:37:44.000Z",2779330895,"Runes of Aldur","MrHubert1710#5930","modified","$$$","11× Greater Regal Orb",47,1
"2026-06-06T01:30:37.000Z",2779277353,"Runes of Aldur","MrHubert1710#5930","added","Quad","Damnation Glisten Ruby",13,22
"2026-06-06T01:30:36.000Z",2779277246,"Runes of Aldur","MrHubert1710#5930","removed","Quad","Damnation Glisten Ruby",23,19
"2026-06-06T01:30:35.000Z",2779277150,"Runes of Aldur","MrHubert1710#5930","added","Quad","Damnation Glisten Ruby",23,19
"2026-06-06T01:30:19.000Z",2779275162,"Runes of Aldur","MrHubert1710#5930","added","Quad","Lavish Wombgift",2,23
"2026-06-06T01:30:19.000Z",2779275061,"Runes of Aldur","MrHubert1710#5930","added","Waystone","Waystone (Tier 15) (T15)",8,8
"2026-06-06T01:30:19.000Z",2779275060,"Runes of Aldur","MrHubert1710#5930","added","Waystone","Waystone (Tier 15) (T15)",8,7
"2026-06-06T01:30:18.000Z",2779275032,"Runes of Aldur","MrHubert1710#5930","modified","$$$","26× Vaal Orb",6,1
"2026-06-06T01:30:17.000Z",2779274834,"Runes of Aldur","MrHubert1710#5930","modified","Frag","1663× Breach Splinter",1,2
"2026-06-06T01:30:16.000Z",2779274751,"Runes of Aldur","MrHubert1710#5930","added","Quad","Lavish Wombgift",2,22
"2026-06-06T01:30:16.000Z",2779274717,"Runes of Aldur","MrHubert1710#5930","added","Quad","Lavish Wombgift",2,21
"2026-06-06T01:30:16.000Z",2779274688,"Runes of Aldur","MrHubert1710#5930","modified","Aug","9× Warding Rune of Courage",179,1
